wallet,token_address,sol_value
WwaTx5UvxbcEdRGPjyZJC8N7DnYmpBGwZwB9sn1HXrL,GJtJuWD9qYcCkrwMBmtY1tpapV1sKfB2zUv9Q4aqpump,75.0
24SbY3TCF1mLdvc4qUCpvM15ADHMjy2xvm7Kau9e6Zmo,C9FVTtx4WxgHmz55FEvQgykq8rqiLS8xRBVgqQVtpump,170.61
8uaVnaE3MhJbTktg7gvqDir59DRQj21vp7dukTc6A96N,GjK3v2n3Em1e3kEwSrKW2VrnY54EU9zBCSwGEP8Bpump,10.0
B1CpqTLajXw8boJNEyA4G6959LXpuVxiJPabUUqp5c4N,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,20.0
Aou5uPjsiAQuFZNmsPkChLnUjwTVEPfBq2Yk4Gpz1P4z,9uGHyPu3kC3vbxZRN5AkLfPWGUyLvzL4UKuUzoB16Ls9,5.05
4jHhoxCHL4HuAsFS122tf4s9K7uT4eJDJgdMCFfFH3Br,GYMB2ZgEgTBjC2wQkzgFD5SgA4BG9WmiKx1j69K3pump,5.95
ERrqD3HgtCkgBSczAZ92mrpSBdX6tzvhcmkBNeF6vRgk,66gsTs88mXJ5L4AtJnWqFW6H2L5YQDRy4W41y6zbpump,64.8
CZ1sW1ZDxTNERY9pPTvbMy6oFyG6rd6qJoWvKSAoYp9p,H2c31USxu35MDkBrGph8pUDUnmzo2e4Rf4hnvL2Upump,10.0
25WURJ7igVFMW5ngSrapXrPUHZLxeXpYmGBeA7QbiWhv,9EwutmiMiLHoH5hj5aCLMDJUdsLZVg926ZmDdr8Ppump,20.0
ERrqD3HgtCkgBSczAZ92mrpSBdX6tzvhcmkBNeF6vRgk,E6AujzX54E1ZoPDFP2CyG3HHUVKygEkp6DRqig61pump,39.9
D2frGtaSKMS4MFGCXzhUjdz5Q7UVaFue4dehk3afdjq1,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,62.5
AejiVu32RSTrtcq6CKnQPvwjhEsNJNYS4X19sHxaaxkW,ocadaAXpD1haGy2JnjHbgUhczqtiMdYHzvnBihjJHg9,22.0
ATHtHwH9N6fFUxceJjrDicjF8gmLhY1A6XGZbyzWTise,26WeYmFfGTfa42TSrUxrDVQygJYH3Amey3MPE8nN2oEV,5.69
7P6X1oxcvfkmaGmRecEuCzeh8pBDp4UMNaUKXaebPvKT,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,10.0
H2AGZjUCpTMQMEj6hdZnPi9zLiAJCmYvjmpdcBvTBxK,HWcmFw19wHSuxJFXz4xSzLqVz9sAFykNYdBc4eGfpump,10.0
XHupBDqgK2JCAxvwJBPvxtfmGC9rPPzo6FxKydcek5z,HHxvrGFZb4MQvidAwV4fMqF2sBuND9xYx3ugGN5Gpump,10.0
783buHuEFNdncWu5RgKjUiaGzCEh8xmz6UGf9zCk14FM,FuQASH8ps9NPeDu4h3rVtMBygKYoSiSTZ4uSiA5tpump,9.5
pAtJbeVZcKP7uNvwS1P9BrypqLTudwyoXJsrUMhMQZS,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,6.36
8FUP3WDC61KK8BXRMfSEEDGgvPrPfvrg5cXjuye1533X,4j9bDg7iWNah1Qa61rrqwWZMtEdqV3fV56SzyhfNpump,82.0
8q5dJoonn91KaJnbeYyCJCbS6Lqkn8pSrjsjmaai3MVo,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,74.0
2A9dxPr5DbsK4qhEVfYEnBvqgifiFEc6EBbUNHiHwccf,FLqmVrv6cp7icjobpRMQJMEyjF3kF84QmC4HXpySpump,33.0
6Y6xBM7KPAXvpjZGfqJXF21WhE333vvmneN2LVCU9Fya,GhE3jvBtMNLhYyqSxDYYMHWUgQD7RMpEkoqaMmRHpump,6.5
92iYee4tHCanKiiCpFk3rvA89k466NjgVKojZkpJdcvj,AXNgt2tyXdoNR3VaXqtN8E91m9ZwKCJrVHAX6r7Dpump,94.05
EwCUCsL6TrNMJUk8iZP6yvaZgV393LAa1pr9fRKDkenu,HwPtbFpd3VTe3tfyosoVtPf9WPuSk5gAKkN5xp6Npump,20.44
yoyojFYMAAQNziZWuqHyiuHVD8Ah4QSosvFYG4MhYdx,8wXtPeU6557ETkp9WHFY1n1EcU6NxDvbAggHGsMYiHsB,60.0
HgueuQ2L1vVC3M7Y42CWeSNjhWWMm9fEadM3mzivr3au,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,50.0
GrbFPKCeCysMwts4Lq5wyoi1bEM1HSqPvFCgFBfqJvZh,HAPPYwgFcjEJDzRtfWE6tiHE9zGdzpNky2FvjPHsvvGZ,17.0
HRaY61kFrDbEcXnYRJRcL1pY7tRkaZDtiDArKiv7JaXt,79yTpy8uwmAkrdgZdq6ZSBTvxKsgPrNqTLvYQBh1pump,32.1
5t8FXTnoEJwR5E9GFJtasrm6tgBFehba6MvhR4uHHNxL,7bmwhHrXqznuRarggN2i1PRTKpjatuyTWtkgPgvnpump,11.37
yoyojFYMAAQNziZWuqHyiuHVD8Ah4QSosvFYG4MhYdx,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,90.0
2JB7aCuisCm1PwAgDWeoZBmpad1KsFtHoXK6wCmN8yaR,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,15.0
8jYw1qtEzEESbzUJMNe4RWdKYhti2Z52nGA3hA7CSKbJ,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,21.41
2AMaYqtv9HxJqaawBLnqq8nEZmkwS17Di8z5buBgBHdD,AiQcnL5gPjEXVH1E1FGUdN1WhPz4qXAZfQJxpGrJpump,10.0
4YqUE2MEuJFPc6QgAxq7QnEmFgUnAok8ytijkRQPuVWA,79dV2zTZMZ9CSQj3fU4CNJKSeGfYVXeuuXX3Z3XjgpMw,15.82
F8LoSJCn9v1q58vLXeQE2oWsxtAPcpvHfxjtEswsteAe,FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8,5.81
9FXukERkZypvPENijz5reSxWPEhSLAe6R3SaCfmYitSr,A8XuTvj9mVNMHmRYjPVpbT5HVmQCcB1StgEsGMzPpump,31.54
3hS6KTasgxXcVqGrEoSSkj4Kze18drwCYAVGkukHYGPv,HjdE4j3rHC7YMxFMHXSgEzXoNcVU6YBCfg9Q1gTJpump,9.0
