score,wallet,gmgn,pumpfun,maxtenminutes,winrate,traded_token,port_token,num_inside,laitren80,avg_roi,latestmonth_avg_pnl_latestmonth,pnl_latestmonth,threemonths_avg_pnl_latestmonth,pnl_threemonths,concatenated_inside
13,GDrWv3LvTQ9KthfTsdQBqThmchfseHdx7QKzFKyC71Y4,"<a href=https://gmgn.ai/sol/address/GDrWv3LvTQ9KthfTsdQBqThmchfseHdx7QKzFKyC71Y4 target=_blank"">🔎 </a>",0,0,18,27,27,2,3,3,5239,141445.0,5138,148999.0,[GOAT Fartcoin]
9,61kJZcG8pHEKn7KPfJwWbFPsvNqS6Nu9JMWjcD7nFZPa,"<a href=https://gmgn.ai/sol/address/61kJZcG8pHEKn7KPfJwWbFPsvNqS6Nu9JMWjcD7nFZPa target=_blank"">🔎 </a>",3,10,28,28,25,1,5,17,2555,63874.0,2555,63874.0,[ZOA]
14,FJaDZaB4ZowUHHVbr62Bcy7nqu8JvFDqWVuzhcUWMhW2,"<a href=https://gmgn.ai/sol/address/FJaDZaB4ZowUHHVbr62Bcy7nqu8JvFDqWVuzhcUWMhW2 target=_blank"">🔎 </a>",0,7,46,14,13,2,3,50,6140,79823.0,6140,79823.0,[fur scihub]
6,HU58ZPNjL7TZUhbAgz7zWxdUxh7zG9yUgvdeENaovuFP,"<a href=https://gmgn.ai/sol/address/HU58ZPNjL7TZUhbAgz7zWxdUxh7zG9yUgvdeENaovuFP target=_blank"">🔎 </a>",4,1,28,62,60,1,8,-2,1557,93448.0,1713,104512.0,[Pnut]
6,GCsrjVSwicpmjYu8V1VnhVgfHygXs7kfdhM1LbiWBnQ6,"<a href=https://gmgn.ai/sol/address/GCsrjVSwicpmjYu8V1VnhVgfHygXs7kfdhM1LbiWBnQ6 target=_blank"">🔎 </a>",5,7,11,102,84,1,7,45,1237,103922.0,1204,109560.0,[HYPR∞]
14,5UB5nToGo1XnZUV1mLfNXSUijuQX8nsz8ca3NXjeDuc6,"<a href=https://gmgn.ai/sol/address/5UB5nToGo1XnZUV1mLfNXSUijuQX8nsz8ca3NXjeDuc6 target=_blank"">🔎 </a>",2,15,50,38,28,5,12,168,16103,450873.0,16311,489344.0,[AVB POPCAT GIGA LOCKIN $michi]
9,ExJASXFHjc3w4XYTv1jgeM195XascrEBiZDV5oLN7Cey,"<a href=https://gmgn.ai/sol/address/ExJASXFHjc3w4XYTv1jgeM195XascrEBiZDV5oLN7Cey target=_blank"">🔎 </a>",0,3,24,27,25,1,3,-1,1593,39817.0,2944,76550.0,[scihub]
7,Gu3nWshZ3MENaCjpEtZaJRWyiW8dKvvSkDu7e5rwrBWK,"<a href=https://gmgn.ai/sol/address/Gu3nWshZ3MENaCjpEtZaJRWyiW8dKvvSkDu7e5rwrBWK target=_blank"">🔎 </a>",0,0,50,6,6,1,1,28,1847,11080.0,1847,11080.0,[ACT]
11,2GFBSg5FqwAKs273A3gDK81ApCQESkEfYXcR6EqaA7Tw,"<a href=https://gmgn.ai/sol/address/2GFBSg5FqwAKs273A3gDK81ApCQESkEfYXcR6EqaA7Tw target=_blank"">🔎 </a>",0,1,18,71,65,1,5,4,4954,322024.0,4585,325537.0,[TITS]
14,2A6YC1TzxkmHzW4Vikfq61YPoGvLpd4btjejNHhqqvbn,"<a href=https://gmgn.ai/sol/address/2A6YC1TzxkmHzW4Vikfq61YPoGvLpd4btjejNHhqqvbn target=_blank"">🔎 </a>",7,0,61,14,13,4,5,85,24666,320660.0,22632,316853.0,[FOREST FRED wibwob Cheyenne]
9,4dsN7CDekEjB3xXN211DuhxoCTCDfu7jvDfc89Sm3NiL,"<a href=https://gmgn.ai/sol/address/4dsN7CDekEjB3xXN211DuhxoCTCDfu7jvDfc89Sm3NiL target=_blank"">🔎 </a>",0,3,13,101,88,2,9,185,1839,161857.0,2102,229076.0,[MOODENG GIGA]
5,yMeSjwAG8NiX5FwNC67ojdq5k3dD7AE1zWZUx5eKcmG,"<a href=https://gmgn.ai/sol/address/yMeSjwAG8NiX5FwNC67ojdq5k3dD7AE1zWZUx5eKcmG target=_blank"">🔎 </a>",0,7,16,13,12,1,1,-19,1772,21261.0,29,409.0,[Peanut]
9,oH8tg1q1xaFVPRUsuAsRYvK6YxNhjqkyX5vjao8TZBn,"<a href=https://gmgn.ai/sol/address/oH8tg1q1xaFVPRUsuAsRYvK6YxNhjqkyX5vjao8TZBn target=_blank"">🔎 </a>",4,9,29,65,58,2,7,46,2463,142878.0,3181,187654.0,[BITCAT Nailong]
7,9ccRJ91feMUbD5UjuddE9ofg4C2mKxNHYHkqR4z6oHUs,"<a href=https://gmgn.ai/sol/address/9ccRJ91feMUbD5UjuddE9ofg4C2mKxNHYHkqR4z6oHUs target=_blank"">🔎 </a>",6,0,40,16,15,1,5,29,1871,28066.0,1871,28066.0,[scihub]
